Indicator,Description
Rand per US Dollar,Weighted average of the banks' daily rates at approximately 10:30 am. Weights are based on the banks' foreign exchange transactions.
,
Date,Value
 2019-06-13,14.8449
 2019-06-12,14.7488
 2019-06-11,14.7474
 2019-06-10,14.8669
 2019-06-07,15.1165
 2019-06-06,14.8874
 2019-06-05,14.7427
 2019-06-04,14.4255
 2019-06-03,14.5738
 2019-05-31,14.7581
 2019-05-30,14.6307
 2019-05-29,14.8641
 2019-05-28,14.5746
 2019-05-27,14.4258
 2019-05-24,14.4264
 2019-05-23,14.4599
 2019-05-22,14.3649
 2019-05-21,14.4655
 2019-05-20,14.3674
 2019-05-17,14.3363
 2019-05-16,14.201
 2019-05-15,14.2384
 2019-05-14,14.254
 2019-05-13,14.2849
 2019-05-10,14.2549
 2019-05-09,14.3995
 2019-05-07,14.4626
 2019-05-06,14.4702
 2019-05-03,14.5492
 2019-05-02,14.4268
 2019-04-30,14.3319
 2019-04-29,14.3278
 2019-04-26,14.3816
 2019-04-25,14.4946
 2019-04-24,14.3474
 2019-04-23,14.2165
 2019-04-18,14.0699
 2019-04-17,13.9475
 2019-04-16,14.0435
 2019-04-15,13.9349
 2019-04-12,13.9581
 2019-04-11,13.921
 2019-04-10,14.0288
 2019-04-09,14.061
 2019-04-08,14.1405
 2019-04-05,14.1024
 2019-04-04,14.191
 2019-04-03,14.1396
 2019-04-02,14.2112
 2019-04-01,14.2747
 2019-03-29,14.5968
 2019-03-28,14.6804
 2019-03-27,14.4669
 2019-03-26,14.3838
 2019-03-25,14.481
 2019-03-22,14.3451
 2019-03-20,14.485
 2019-03-19,14.4188
 2019-03-18,14.4311
 2019-03-15,14.4415
 2019-03-14,14.446
 2019-03-13,14.3633
 2019-03-12,14.2649
 2019-03-11,14.3446
 2019-03-08,14.5496
 2019-03-07,14.2824
 2019-03-06,14.1935
 2019-03-05,14.1902
 2019-03-04,14.219
 2019-03-01,14.1054
 2019-02-28,13.9532
 2019-02-27,13.8394
 2019-02-26,13.8585
 2019-02-25,13.8482
 2019-02-22,13.9843
 2019-02-21,13.9085
 2019-02-20,14.1018
 2019-02-19,14.1699
 2019-02-18,14.1031
 2019-02-15,14.1863
 2019-02-14,14.1574
 2019-02-13,13.756
 2019-02-12,13.7721
 2019-02-11,13.6242
 2019-02-08,13.6505
 2019-02-07,13.5913
 2019-02-06,13.4499
 2019-02-05,13.4101
 2019-02-04,13.3568
 2019-02-01,13.2966
 2019-01-31,13.3249
 2019-01-30,13.5932
 2019-01-29,13.7068
 2019-01-28,13.64
 2019-01-25,13.6823
 2019-01-24,13.7956
 2019-01-23,13.919
 2019-01-22,13.9176
 2019-01-21,13.8848
 2019-01-18,13.7631
 2019-01-17,13.7387
 2019-01-16,13.707
 2019-01-15,13.822
 2019-01-14,13.9269
 2019-01-11,13.8401
 2019-01-10,13.863
 2019-01-09,13.9507
 2019-01-08,13.9699
 2019-01-07,13.9272
 2019-01-04,14.1551
 2019-01-03,14.487
 2019-01-02,14.4348
 2018-12-31,14.4116
 2018-12-28,14.4371
 2018-12-27,14.4695
 2018-12-24,14.5446
 2018-12-21,14.3181
 2018-12-20,14.3409
 2018-12-19,14.2786
 2018-12-18,14.2545
 2018-12-14,14.3498
 2018-12-13,14.0873
 2018-12-12,14.2702
 2018-12-11,14.448
 2018-12-10,14.1273
 2018-12-07,14.0623
 2018-12-06,13.8947
 2018-12-05,13.7823
 2018-12-04,13.6431
 2018-12-03,13.5923
 2018-11-30,13.7147
 2018-11-29,13.6523
 2018-11-28,13.9723
 2018-11-27,13.8645
 2018-11-26,13.7579
 2018-11-23,13.7876
